Time: 28147| X:-1283| Y:-1246
Time: 28214| X:-1354| Y:-1238
Time: 28281| X:-1328| Y:-1242
Time: 28348| X:-1426| Y:-1174
Time: 28414| X:-1628| Y:-1036
Time: 28482| X:-1714| Y:-923
Time: 28549| X:-1816| Y:-867
Time: 28616| X:-1853| Y:-747
Time: 28685| X:-1864| Y:-698
Time: 28756| X:-1943| Y:-559
Time: 28825| X:-1921| Y:-458
Time: 28895| X:-1864| Y:-496
Time: 28965| X:-1876| Y:-466
Time: 29035| X:-1936| Y:-417
Time: 29102| X:-1966| Y:-417
Time: 29170| X:-1958| Y:-289
Time: 29236| X:-1996| Y:-357
Time: 29303| X:-1977| Y:-274
Time: 29370| X:-1883| Y:-132
Time: 29437| X:-1793| Y:-94
Time: 29504| X:-1422| Y:-166
Time: 29572| X:-1381| Y:-132
Time: 29641| X:-1328| Y:-121
Time: 29711| X:-1441| Y:-166
Time: 29780| X:-1576| Y:-173
Time: 29850| X:-1714| Y:-181
Time: 29920| X:-2014| Y:-312
Time: 29990| X:-1669| Y:-1069
Time: 30059| X:-1613| Y:-1114
Time: 30127| X:-1591| Y:-1114
Time: 30193| X:-1591| Y:-1028
Time: 30260| X:-1632| Y:-1043
Time: 30327| X:-1602| Y:-968
Time: 30394| X:-1722| Y:-814
Time: 30462| X:-1808| Y:-687
Time: 30528| X:-1789| Y:-638
Time: 30595| X:-1857| Y:-623
Time: 30665| X:-1902| Y:-484
Time: 30735| X:-1891| Y:-514
Time: 30805| X:-1943| Y:-544
Time: 30875| X:-1958| Y:-436
Time: 30946| X:-2022| Y:-379
Time: 31015| X:-1981| Y:-94
Time: 31084| X:-1891| Y:104
Time: 31151| X:-1827| Y:194
Time: 31218| X:-1823| Y:284
Time: 31285| X:-1681| Y:426
Time: 31352| X:-1617| Y:490
Time: 31419| X:-1519| Y:512
Time: 31486| X:-1448| Y:576
Time: 31553| X:-1388| Y:595
Time: 31621| X:-1354| Y:621
Time: 31690| X:-1339| Y:595
Time: 31761| X:-1343| Y:621
Time: 31830| X:-1321| Y:629
Time: 31901| X:-1332| Y:614
Time: 31970| X:-1403| Y:632
Time: 32040| X:-1572| Y:501
Time: 32108| X:-1617| Y:475
Time: 32176| X:-1579| Y:512
Time: 32242| X:-1463| Y:595
Time: 32309| X:-1313| Y:632
Time: 32377| X:-1174| Y:722
Time: 32444| X:-1051| Y:696
Time: 32510| X:-901| Y:741
Time: 32578| X:-837| Y:715
Time: 32647| X:-687| Y:707
Time: 32717| X:-466| Y:614
